loop_index, counter, last_step_ns, T_ref, theta_ref, phi_ref, uwind, vwind, wwind, rho, rpm1, rpm2, rpm3, rpm4,v_batt,alt,gyro_roll,gyro_pitch,gyro_yaw,accel_X,accel_Y,accel_Z,roll,pitch,yaw,X,Y,Z,Xdot,Ydot,Zdot,x0,y0,z0,e.xbee_time,xbee_time_received_ns,xbee_x,xbee_y,xbee_z,xbee_qw,xbee_qx,xbee_qy,xbee_qz,sp_roll,sp_pitch,sp_yaw,sp_X,sp_Y,sp_Z,sp_Xdot,sp_Ydot,sp_Zdot,u_roll,u_pitch,u_yaw,u_X,u_Y,u_Z,mot_1,mot_2,mot_3,mot_4,flight mode
1,120,324031007207,-10.5502,-0.1375,0.0301,0.0310,0.1410,-0.0090,1.1622,23.4375,23.4375,23.4375,23.4375,12.2239,0.0000,0.0000,-0.0610,-0.0000,-0.1076,-0.1942,-10.5763,0.0206,-0.0188,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.1375,0.0301,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,-0.5725,0.0025,0.0025,0.0025,0.0025,4
2,121,324087846027,-10.5502,-0.1375,0.0301,0.0310,0.1410,-0.0090,1.1622,23.4375,23.4375,23.4375,23.4375,12.2239,0.0000,-0.1831,-0.1831,-0.0000,-0.1626,-0.2206,-10.5596,0.0206,-0.0188,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.1375,0.0301,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0020,0.0020,-0.0001,0.0000,0.0000,-0.5725,0.0025,0.0025,0.0025,0.0025,4
3,122,324091419716,-10.5502,-0.1375,0.0301,0.0310,0.1410,-0.0090,1.1622,23.4375,23.4375,23.4375,23.4375,12.2239,0.0000,-0.1831,-0.1831,-0.0000,-0.1291,-0.2110,-10.6121,0.0206,-0.0188,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.1375,0.0301,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0040,0.0040,-0.0004,0.0000,0.0000,-0.5725,0.0025,0.0025,0.0025,0.0025,4
4,123,324096461492,-10.5502,-0.1375,0.0301,0.0310,0.1410,-0.0090,1.1622,23.4375,23.4375,23.4375,23.4375,12.2244,0.0000,-0.1221,-0.0610,0.1221,-0.1363,-0.2565,-10.6408,0.0206,-0.0188,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.1375,0.0301,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0060,0.0060,-0.0007,0.0000,0.0000,-0.5725,0.0025,0.0025,0.0025,0.0025,4
5,124,324101973281,-10.5502,-0.1375,0.0301,0.0310,0.1410,-0.0090,1.1622,23.4375,23.4375,23.4375,23.4375,12.2249,0.0000,-0.2441,-0.2441,0.1831,-0.1411,-0.2014,-10.6217,0.0206,-0.0188,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.1375,0.0301,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0080,0.0080,-0.0010,0.0000,0.0000,-0.5725,0.0025,0.0025,0.0025,0.0025,4
6,125,324106462915,-10.5502,-0.1375,0.0301,0.0310,0.1410,-0.0090,1.1622,23.4375,23.4375,23.4375,23.4375,12.2251,0.0000,-0.1831,-0.0610,0.2441,-0.1458,-0.2134,-10.5978,0.0205,-0.0188,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.1375,0.0301,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0100,0.0096,-0.0013,0.0000,0.0000,-0.5725,0.0025,0.0025,0.0025,0.0025,4
7,126,324111456605,-10.5502,-0.1375,0.0301,0.0310,0.1410,-0.0090,1.1622,23.4375,23.4375,23.4375,23.4375,12.2251,0.0000,-0.0610,-0.1221,0.1221,-0.1148,-0.2014,-10.5930,0.0205,-0.0188,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.1375,0.0301,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0120,0.0108,-0.0014,0.0000,0.0000,-0.5725,0.0025,0.0025,0.0025,0.0025,4
8,127,324116390378,-10.5502,-0.1375,0.0301,0.0310,0.1410,-0.0090,1.1622,23.4375,23.4375,23.4375,23.4375,12.2251,0.0000,-0.1831,-0.1221,0.1221,-0.1650,-0.2277,-10.6193,0.0205,-0.0188,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.1375,0.0301,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0140,0.0116,-0.0016,0.0000,0.0000,-0.5725,0.0025,0.0025,0.0025,0.0025,4
9,128,324121868458,-10.5502,-0.1375,0.0301,0.0310,0.1410,-0.0090,1.1622,23.4375,23.4375,23.4375,23.4375,12.2254,0.0000,-0.2441,-0.1831,-0.0610,-0.1530,-0.1894,-10.6145,0.0205,-0.0188,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.1375,0.0301,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0160,0.0122,-0.0015,0.0000,0.0000,-0.5725,0.0025,0.0025,0.0025,0.0025,4
10,129,324126434552,-10.5502,-0.1375,0.0301,0.0310,0.1410,-0.0090,1.1622,23.4375,23.4375,23.4375,23.4375,12.2256,0.0000,-0.1831,-0.1831,-0.0000,-0.1578,-0.1870,-10.6240,0.0205,-0.0188,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.1375,0.0301,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0180,0.0126,-0.0016,0.0000,0.0000,-0.5725,0.0025,0.0025,0.0025,0.0025,4
