loop_index, counter, last_step_ns, T_ref, theta_ref, phi_ref, uwind, vwind, wwind, rho, rpm1, rpm2, rpm3, rpm4,v_batt,alt,gyro_roll,gyro_pitch,gyro_yaw,accel_X,accel_Y,accel_Z,roll,pitch,yaw,X,Y,Z,Xdot,Ydot,Zdot,x0,y0,z0,e.xbee_time,xbee_time_received_ns,xbee_x,xbee_y,xbee_z,xbee_qw,xbee_qx,xbee_qy,xbee_qz,sp_roll,sp_pitch,sp_yaw,sp_X,sp_Y,sp_Z,sp_Xdot,sp_Ydot,sp_Zdot,u_roll,u_pitch,u_yaw,u_X,u_Y,u_Z,mot_1,mot_2,mot_3,mot_4,thrust_mot1,thrust_mot2,thrust_mot3,thrust_mot4,flight_mode
1,69,199155342185,-10.5669,-0.1234,-0.0383,-0.0190,0.0610,0.0010,1.1670,6371.5366,6753.9409,6647.6943,6305.3379,11.7559,0.0000,2.6855,2.3193,0.6104,8.8369,-17.7451,-19.4054,0.0080,-0.0095,-0.0055,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.1234,-0.0383,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0000,-0.0000,0.0000,0.0000,0.0000,-0.5754,0.6637,0.7007,0.6903,0.6573,0.5754,0.5754,0.5754,0.5754,4
2,70,199157574328,-10.5669,-0.1234,-0.0383,-0.0190,0.0610,0.0010,1.1670,6371.5366,6753.9409,6647.6943,6305.3379,11.7711,0.0000,3.1128,3.2349,0.9155,-12.9685,-8.3355,-1.4059,0.0116,-0.0083,-0.0054,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.1234,-0.0383,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0020,-0.0020,0.0014,0.0000,0.0000,-0.5754,0.6637,0.7007,0.6903,0.6573,0.5761,0.5767,0.5761,0.5727,4
3,71,199160993747,-10.5669,-0.1234,-0.0383,-0.0190,0.0610,0.0010,1.1670,6371.5366,6753.9409,6647.6943,6305.3379,11.7858,0.0000,2.0752,-1.4038,-0.2441,-13.8651,0.5802,4.1532,0.0126,-0.0097,-0.0054,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.1234,-0.0383,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0040,0.0040,0.0039,0.0000,0.0000,-0.5754,0.6637,0.7007,0.6903,0.6573,0.5813,0.5734,0.5733,0.5734,4
4,72,199165547112,-10.5669,-0.1234,-0.0383,-0.0190,0.0610,0.0010,1.1670,6371.5366,6753.9409,6647.6943,6305.3379,11.8011,0.0000,0.1831,-3.6011,-0.4272,-8.9995,10.6634,3.1435,0.0126,-0.0114,-0.0055,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.1234,-0.0383,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0060,0.0060,0.0060,0.0000,0.0000,-0.5754,0.6637,0.7007,0.6903,0.6573,0.5844,0.5724,0.5724,0.5724,4
5,73,199170799859,-10.5669,-0.1234,-0.0383,-0.0190,0.0610,0.0010,1.1670,6371.5366,6753.9409,6647.6943,6305.3379,11.8149,0.0000,-0.7935,-3.9673,-1.8921,-0.9588,18.5626,-6.6141,0.0115,-0.0126,-0.0056,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.1234,-0.0383,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0080,0.0080,0.0080,0.0000,0.0000,-0.5754,0.6637,0.7007,0.6903,0.6573,0.5874,0.5714,0.5714,0.5714,4
6,74,199176107396,-10.5669,-0.1234,-0.0383,-0.0190,0.0610,0.0010,1.1670,6371.5366,6753.9409,6647.6943,6305.3379,11.8277,0.0000,-2.6855,-2.5024,0.2441,6.5273,20.5931,-20.6275,0.0095,-0.0129,-0.0056,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.1234,-0.0383,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0049,0.0051,0.0089,0.0000,0.0000,-0.5754,0.6637,0.7007,0.6903,0.6573,0.5848,0.5709,0.5748,0.5710,4
7,75,199180539683,-10.5669,-0.1234,-0.0383,-0.0190,0.0610,0.0010,1.1670,6371.5366,6753.9409,6647.6943,6305.3379,11.8398,0.0000,-1.6479,1.1597,-1.0376,12.9278,16.6831,-32.1371,0.0074,-0.0121,-0.0057,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.1234,-0.0383,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0019,-0.0035,0.0106,0.0000,0.0000,-0.5754,0.6637,0.7007,0.6903,0.6573,0.5799,0.5728,0.5815,0.5674,4
8,76,199185497195,-10.5669,-0.1234,-0.0383,-0.0190,0.0610,0.0010,1.1670,6371.5366,6753.9409,6647.6943,6305.3379,11.8504,0.0000,-3.2959,2.0142,1.4648,11.1179,10.0113,-37.9444,0.0055,-0.0106,-0.0055,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.1234,-0.0383,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0010,-0.0138,0.0102,0.0000,0.0000,-0.5754,0.6637,0.7007,0.6903,0.6573,0.5741,0.5777,0.5868,0.5628,4
9,77,199190557285,-10.5669,-0.1234,-0.0383,-0.0190,0.0610,0.0010,1.1670,6371.5366,6753.9409,6647.6943,6305.3379,11.8596,0.0000,-1.6479,4.0283,0.3052,7.9140,-2.0545,-31.2730,0.0043,-0.0091,-0.0055,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.1234,-0.0383,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0052,-0.0160,0.0107,0.0000,0.0000,-0.5754,0.6637,0.7007,0.6903,0.6573,0.5753,0.5806,0.5862,0.5594,4
10,78,199195485507,-10.5669,-0.1234,-0.0383,-0.0190,0.0610,0.0010,1.1670,6371.5366,6753.9409,6647.6943,6305.3379,11.8685,0.0000,-2.6855,1.3428,1.9531,0.9970,-9.5486,-16.4266,0.0043,-0.0082,-0.0053,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.1234,-0.0383,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0145,-0.0180,0.0100,0.0000,0.0000,-0.5754,0.6637,0.7007,0.6903,0.6573,0.5786,0.5866,0.5821,0.5541,4
11,79,199200487350,-10.5669,-0.1234,-0.0383,-0.0190,0.0610,0.0010,1.1670,6371.5366,6753.9409,6647.6943,6305.3379,11.8755,0.0000,-2.1973,1.7090,0.2441,-2.7329,-17.8098,3.4133,0.0050,-0.0080,-0.0053,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.1234,-0.0383,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0200,-0.0167,0.0107,0.0000,0.0000,-0.5754,0.6637,0.7007,0.6903,0.6573,0.5824,0.5883,0.5791,0.5517,4
