loop_index, counter, last_step_ns, T_ref, theta_ref, phi_ref, uwind, vwind, wwind, rho, rpm1, rpm2, rpm3, rpm4,v_batt,alt,gyro_roll,gyro_pitch,gyro_yaw,accel_X,accel_Y,accel_Z,roll,pitch,yaw,X,Y,Z,Xdot,Ydot,Zdot,x0,y0,z0,e.xbee_time,xbee_time_received_ns,xbee_x,xbee_y,xbee_z,xbee_qw,xbee_qx,xbee_qy,xbee_qz,sp_roll,sp_pitch,sp_yaw,sp_X,sp_Y,sp_Z,sp_Xdot,sp_Ydot,sp_Zdot,u_roll,u_pitch,u_yaw,u_X,u_Y,u_Z,mot_1,mot_2,mot_3,mot_4,flight mode
1,69,3651514005883,-10.4379,-0.1810,0.0912,0.0310,0.0610,-0.0290,1.1651,5236.5234,5050.5859,4934.3750,5027.3438,11.9587,0.0000,-0.6104,6.7749,0.4272,8.2201,-6.5279,-19.0713,0.0205,-0.0129,-0.0064,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.1810,0.0912,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.5683,0.5442,0.5223,0.5087,0.5196,4
2,70,3651518742734,-10.4379,-0.1810,0.0912,0.0310,0.0610,-0.0290,1.1651,5236.5234,5050.5859,4934.3750,5027.3438,11.9640,0.0000,3.4790,-6.7139,-0.6714,-16.9542,-3.7542,21.0404,0.0238,-0.0158,-0.0063,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.1810,0.0912,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0020,0.0020,0.0020,0.0000,0.0000,-0.5683,0.5442,0.5223,0.5087,0.5196,4
3,71,3651522387798,-10.4379,-0.1810,0.0912,0.0310,0.0610,-0.0290,1.1651,5236.5234,5050.5859,4934.3750,5027.3438,11.9696,0.0000,-4.2725,5.4321,0.7935,5.6116,5.4132,-28.8289,0.0197,-0.0144,-0.0063,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.1810,0.0912,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0040,0.0025,0.0040,0.0000,0.0000,-0.5683,0.5442,0.5223,0.5087,0.5196,4
4,72,3651526625583,-10.4379,-0.1810,0.0912,0.0310,0.0610,-0.0290,1.1651,5236.5234,5050.5859,4934.3750,5027.3438,11.9742,0.0000,-1.8311,1.7700,0.6714,-1.7813,-8.3307,-2.9287,0.0190,-0.0137,-0.0062,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.1810,0.0912,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0060,0.0060,0.0056,0.0000,0.0000,-0.5683,0.5442,0.5223,0.5087,0.5196,4
5,73,3651531544204,-10.4379,-0.1810,0.0912,0.0310,0.0610,-0.0290,1.1651,5236.5234,5050.5859,4934.3750,5027.3438,11.9790,0.0000,1.9531,-2.3804,0.7324,-6.6157,-21.5113,9.4091,0.0200,-0.0140,-0.0062,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.1810,0.0912,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0080,0.0080,0.0070,0.0000,0.0000,-0.5683,0.5442,0.5223,0.5087,0.5196,4
6,74,3651558286716,-10.4379,-0.1810,0.0912,0.0310,0.0610,-0.0290,1.1651,5050.5859,5027.3438,5027.3438,5027.3438,11.9824,0.0000,4.2725,-3.5400,-0.6714,-3.4071,-17.4910,5.4230,0.0225,-0.0150,-0.0063,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.1810,0.0912,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0100,0.0100,0.0094,0.0000,0.0000,-0.5683,0.5223,0.5196,0.5196,0.5196,4
7,75,3651562068389,-10.4379,-0.1810,0.0912,0.0310,0.0610,-0.0290,1.1651,5050.5859,5027.3438,5027.3438,5027.3438,11.9875,0.0000,-2.1973,2.1362,0.2441,-3.2015,17.3232,-8.6024,0.0239,-0.0154,-0.0063,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.1810,0.0912,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0120,0.0120,0.0109,0.0000,0.0000,-0.5683,0.5223,0.5196,0.5196,0.5196,4
8,76,3651567395044,-10.4379,-0.1810,0.0912,0.0310,0.0610,-0.0290,1.1651,5050.5859,5027.3438,5027.3438,5027.3438,11.9916,0.0000,-1.7700,-0.6714,-0.9155,10.8860,-8.2900,-26.0314,0.0193,-0.0158,-0.0064,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.1810,0.0912,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0017,0.0140,0.0129,0.0000,0.0000,-0.5683,0.5223,0.5196,0.5196,0.5196,4
9,77,3651599937821,-10.4379,-0.1810,0.0912,0.0310,0.0610,-0.0290,1.1651,5073.8281,5027.3438,5050.5859,5050.5859,11.9962,0.0000,1.1597,0.6714,1.1597,12.0169,-16.2899,-25.2223,0.0202,-0.0146,-0.0063,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.1810,0.0912,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0160,0.0119,0.0129,0.0000,0.0000,-0.5683,0.5251,0.5196,0.5223,0.5223,4
10,78,3651657994716,-10.4379,-0.1810,0.0912,0.0310,0.0610,-0.0290,1.1651,5073.8281,5027.3438,5050.5859,5050.5859,12.0003,0.0000,-1.0376,-5.4932,-0.7324,3.8805,-11.6726,-9.5786,0.0200,-0.0172,-0.0067,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.1810,0.0912,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0180,0.0180,0.0169,0.0000,0.0000,-0.5683,0.5251,0.5196,0.5223,0.5223,4
11,79,3651661585495,-10.4379,-0.1810,0.0912,0.0310,0.0610,-0.0290,1.1651,5073.8281,5027.3438,5050.5859,5050.5859,12.0029,0.0000,0.8545,-2.6855,-0.8545,16.3110,-16.8053,-31.6215,0.0212,-0.0171,-0.0068,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.1810,0.0912,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0200,0.0200,0.0181,0.0000,0.0000,-0.5683,0.5251,0.5196,0.5223,0.5223,4
