loop_index, counter, last_step_ns, T_ref, theta_ref, phi_ref, uwind, vwind, wwind, rho, rpm1, rpm2, rpm3, rpm4,v_batt,alt,gyro_roll,gyro_pitch,gyro_yaw,accel_X,accel_Y,accel_Z,roll,pitch,yaw,X,Y,Z,Xdot,Ydot,Zdot,x0,y0,z0,e.xbee_time,xbee_time_received_ns,xbee_x,xbee_y,xbee_z,xbee_qw,xbee_qx,xbee_qy,xbee_qz,sp_roll,sp_pitch,sp_yaw,sp_X,sp_Y,sp_Z,sp_Xdot,sp_Ydot,sp_Zdot,u_roll,u_pitch,u_yaw,u_X,u_Y,u_Z,mot_1,mot_2,mot_3,mot_4,thrust_mot1,thrust_mot2,thrust_mot3,thrust_mot4,flight_mode
0,-1,0,-10.4993,-0.0819,-0.1508,-0.8190,0.8510,-0.0290,1.1730,8025.5859,8025.5859,8025.5859,8025.5859,12.2297,0.0000,0.0000,0.0000,0.1221,-0.1435,-0.1175,-10.5620,0.0096,-0.0095,-0.0035,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1000,-0.1000,-0.1000,-0.1000,0.0000,0.0000,0.0000,0.0000,4
0,-1,0,-10.4993,-0.0819,-0.1508,-0.8190,0.8510,-0.0290,1.1730,8025.5859,8025.5859,8025.5859,8025.5859,12.2316,0.0000,-0.0610,-0.1831,-0.0000,-0.1411,-0.1175,-10.6073,0.0096,-0.0095,-0.0035,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1000,-0.1000,-0.1000,-0.1000,0.0000,0.0000,0.0000,0.0000,4
0,-1,0,-10.4993,-0.0819,-0.1508,-0.8190,0.8510,-0.0290,1.1730,8025.5859,8025.5859,8025.5859,8025.5859,12.2329,0.0000,-0.1221,-0.0610,-0.0000,-0.1769,-0.1295,-10.5644,0.0096,-0.0095,-0.0035,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1000,-0.1000,-0.1000,-0.1000,0.0000,0.0000,0.0000,0.0000,4
0,-1,0,-10.4993,-0.0819,-0.1508,-0.8190,0.8510,-0.0290,1.1730,8025.5859,8025.5859,8025.5859,8025.5859,12.2343,0.0000,0.0610,-0.1221,-0.0000,-0.1482,-0.0959,-10.6360,0.0096,-0.0095,-0.0035,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1000,-0.1000,-0.1000,-0.1000,0.0000,0.0000,0.0000,0.0000,4
0,-1,0,-10.4993,-0.0819,-0.1508,-0.8190,0.8510,-0.0290,1.1730,8025.5859,8025.5859,8025.5859,8025.5859,12.2358,0.0000,-0.0610,-0.1221,-0.0610,-0.1721,-0.1390,-10.5882,0.0096,-0.0095,-0.0035,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1000,-0.1000,-0.1000,-0.1000,0.0000,0.0000,0.0000,0.0000,4
0,-1,0,-10.4993,-0.0819,-0.1508,-0.8190,0.8510,-0.0290,1.1730,8025.5859,8025.5859,8025.5859,8025.5859,12.2375,0.0000,-0.0610,-0.1221,-0.1221,-0.1602,-0.1390,-10.5119,0.0096,-0.0095,-0.0035,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1000,-0.1000,-0.1000,-0.1000,0.0000,0.0000,0.0000,0.0000,4
0,-1,0,-10.5628,-0.0953,-0.0913,-0.7290,0.7710,0.0410,1.1730,8025.5859,8025.5859,8025.5859,8025.5859,12.2387,0.0000,-0.0610,-0.1831,-0.0000,-0.1626,-0.0983,-10.5763,0.0096,-0.0095,-0.0035,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1000,-0.1000,-0.1000,-0.1000,0.0000,0.0000,0.0000,0.0000,4
0,-1,0,-10.5628,-0.0953,-0.0913,-0.7290,0.7710,0.0410,1.1730,8025.5859,8025.5859,8025.5859,8025.5859,12.2406,0.0000,0.0610,0.0000,-0.0000,-0.1219,-0.1462,-10.5954,0.0097,-0.0095,-0.0035,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1000,-0.1000,-0.1000,-0.1000,0.0000,0.0000,0.0000,0.0000,4
0,-1,0,-10.5628,-0.0953,-0.0913,-0.7290,0.7710,0.0410,1.1730,8025.5859,8025.5859,8025.5859,8025.5859,12.2420,0.0000,-0.0610,-0.3052,0.1831,-0.1698,-0.1366,-10.5906,0.0097,-0.0096,-0.0035,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1000,-0.1000,-0.1000,-0.1000,0.0000,0.0000,0.0000,0.0000,4
0,-1,0,-10.5628,-0.0953,-0.0913,-0.7290,0.7710,0.0410,1.1730,8025.5859,8025.5859,8025.5859,8025.5859,12.2435,0.0000,-0.0610,-0.2441,0.1831,-0.1674,-0.0959,-10.5763,0.0097,-0.0096,-0.0035,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1000,-0.1000,-0.1000,-0.1000,0.0000,0.0000,0.0000,0.0000,4
0,-1,0,-10.5628,-0.0953,-0.0913,-0.7290,0.7710,0.0410,1.1730,8025.5859,8025.5859,8025.5859,8025.5859,12.2449,0.0000,-0.0610,-0.2441,0.1831,-0.1769,-0.1414,-10.5668,0.0097,-0.0096,-0.0035,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1000,-0.1000,-0.1000,-0.1000,0.0000,0.0000,0.0000,0.0000,4
0,-1,0,-10.5628,-0.0953,-0.0913,-0.7290,0.7710,0.0410,1.1730,123.2422,8025.5859,8025.5859,8025.5859,12.2464,0.0000,-0.1831,-0.3052,0.1221,-0.1674,-0.1271,-10.6288,0.0097,-0.0096,-0.0035,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1000,-0.1000,-0.1000,-0.1000,0.0000,0.0000,0.0000,0.0000,4
0,-1,0,-10.5628,-0.0953,-0.0913,-0.7290,0.7710,0.0410,1.1730,123.2422,8025.5859,8025.5859,8025.5859,12.2476,0.0000,0.0000,0.0000,-0.1221,-0.1530,-0.1031,-10.5715,0.0097,-0.0096,-0.0035,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1000,-0.1000,-0.1000,-0.1000,0.0000,0.0000,0.0000,0.0000,4
0,-1,0,-10.5628,-0.0953,-0.0913,-0.7290,0.7710,0.0410,1.1730,123.2422,8025.5859,8025.5859,8025.5859,12.2493,0.0000,-0.0610,-0.1831,-0.0610,-0.1219,-0.0935,-10.6121,0.0097,-0.0096,-0.0035,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1000,-0.1000,-0.1000,-0.1000,0.0000,0.0000,0.0000,0.0000,4
0,-1,0,-10.5628,-0.0953,-0.0913,-0.7290,0.7710,0.0410,1.1730,123.2422,8025.5859,8025.5859,8025.5859,12.2507,0.0000,-0.1831,-0.1221,-0.1221,-0.1745,-0.1079,-10.5596,0.0097,-0.0097,-0.0035,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1000,-0.1000,-0.1000,-0.1000,0.0000,0.0000,0.0000,0.0000,4
0,-1,0,-10.4867,-0.1377,-0.1137,-0.1090,0.1310,0.0410,1.1730,8025.5859,8025.5859,8025.5859,8025.5859,12.2522,0.0000,-0.0610,-0.1221,-0.0000,-0.1530,-0.0887,-10.5763,0.0097,-0.0097,-0.0035,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1000,-0.1000,-0.1000,-0.1000,0.0000,0.0000,0.0000,0.0000,4
0,-1,0,-10.5580,-0.0438,-0.1282,-0.1390,0.0910,0.0510,1.1730,8025.5859,8025.5859,8025.5859,8025.5859,12.2534,0.0000,-0.0610,-0.1831,0.1221,-0.1602,-0.1103,-10.5811,0.0102,-0.0112,-0.0041,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1000,-0.1000,-0.1000,-0.1000,0.0000,0.0000,0.0000,0.0000,4
0,-1,0,-10.5580,-0.0438,-0.1282,-0.1390,0.0910,0.0510,1.1730,8025.5859,8025.5859,8025.5859,8025.5859,12.2549,0.0000,-0.0610,-0.1221,0.1221,-0.1578,-0.0959,-10.5739,0.0102,-0.0112,-0.0041,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1000,-0.1000,-0.1000,-0.1000,0.0000,0.0000,0.0000,0.0000,4
0,-1,0,-10.4664,-0.1043,-0.1576,-0.1390,0.0910,0.0510,1.1730,8025.5859,8025.5859,8025.5859,8025.5859,12.2563,0.0000,-0.1831,-0.2441,-0.0000,-0.1458,-0.1199,-10.6479,0.0102,-0.0112,-0.0041,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1000,-0.1000,-0.1000,-0.1000,0.0000,0.0000,0.0000,0.0000,4
0,-1,0,-10.4664,-0.1043,-0.1576,-0.2390,0.0610,0.0710,1.1730,8025.5859,8025.5859,8025.5859,8025.5859,12.2575,0.0000,-0.0610,-0.1221,-0.0000,-0.1937,-0.1438,-10.5190,0.0102,-0.0112,-0.0041,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1000,-0.1000,-0.1000,-0.1000,0.0000,0.0000,0.0000,0.0000,4
0,-1,0,-10.4664,-0.1043,-0.1576,-0.2390,0.0610,0.0710,1.1730,8025.5859,8025.5859,8025.5859,8025.5859,12.2575,0.0000,-0.1831,-0.1221,-0.0000,-0.1267,-0.1462,-10.6097,0.0102,-0.0113,-0.0041,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1000,-0.1000,-0.1000,-0.1000,0.0000,0.0000,0.0000,0.0000,4
0,-1,0,-10.4664,-0.1043,-0.1576,-0.2390,0.0610,0.0710,1.1730,8025.5859,8025.5859,8025.5859,8025.5859,12.2568,0.0000,-0.0610,-0.2441,-0.0000,-0.1411,-0.0815,-10.5381,0.0102,-0.0113,-0.0041,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1000,-0.1000,-0.1000,-0.1000,0.0000,0.0000,0.0000,0.0000,4
