loop_index, counter, last_step_ns, T_ref, theta_ref, phi_ref, uwind, vwind, wwind, rho, rpm1, rpm2, rpm3, rpm4,v_batt,alt,gyro_roll,gyro_pitch,gyro_yaw,accel_X,accel_Y,accel_Z,roll,pitch,yaw,X,Y,Z,Xdot,Ydot,Zdot,x0,y0,z0,e.xbee_time,xbee_time_received_ns,xbee_x,xbee_y,xbee_z,xbee_qw,xbee_qx,xbee_qy,xbee_qz,sp_roll,sp_pitch,sp_yaw,sp_X,sp_Y,sp_Z,sp_Xdot,sp_Ydot,sp_Zdot,u_roll,u_pitch,u_yaw,u_X,u_Y,u_Z,mot_1,mot_2,mot_3,mot_4,flight mode
0,-1,0,-10.4205,-0.2104,0.0115,0.0210,0.3810,0.2010,1.1606,23.4375,23.4375,23.4375,23.4375,12.2193,0.0000,-0.0610,-0.1831,-0.0000,-0.1148,-0.2565,-10.5859,0.0140,-0.0011,-0.0013,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1000,-0.1000,-0.1000,-0.1000,4
0,-1,0,-10.4205,-0.2104,0.0115,0.0210,0.3810,0.2010,1.1606,23.4375,23.4375,23.4375,23.4375,12.2203,0.0000,0.0000,0.0000,-0.0610,-0.1984,-0.2709,-10.5405,0.0140,-0.0011,-0.0013,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1000,-0.1000,-0.1000,-0.1000,4
0,-1,0,-10.4205,-0.2104,0.0115,0.0210,0.3810,0.2010,1.1606,23.4375,23.4375,23.4375,23.4375,12.2215,0.0000,0.0000,0.0610,-0.0000,-0.1315,-0.2182,-10.5572,0.0141,-0.0011,-0.0013,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1000,-0.1000,-0.1000,-0.1000,4
0,-1,0,-10.4205,-0.2104,0.0115,0.0210,0.3810,0.2010,1.1606,23.4375,23.4375,23.4375,23.4375,12.2225,0.0000,0.0000,-0.1221,-0.0000,-0.1243,-0.2517,-10.5811,0.0141,-0.0011,-0.0013,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1000,-0.1000,-0.1000,-0.1000,4
0,-1,0,-10.4205,-0.2104,0.0115,0.0210,0.3810,0.2010,1.1606,23.4375,23.4375,23.4375,23.4375,12.2239,0.0000,-0.0610,-0.1221,-0.0000,-0.1745,-0.2349,-10.6336,0.0141,-0.0011,-0.0013,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1000,-0.1000,-0.1000,-0.1000,4
0,-1,0,-10.4205,-0.2104,0.0115,0.0210,0.3810,0.2010,1.1606,23.4375,23.4375,23.4375,23.4375,12.2249,0.0000,-0.0610,-0.1221,0.1221,-0.1626,-0.2637,-10.5596,0.0141,-0.0011,-0.0013,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1000,-0.1000,-0.1000,-0.1000,4
0,-1,0,-10.4205,-0.2104,0.0115,0.0210,0.3810,0.2010,1.1606,23.4375,23.4375,23.4375,23.4375,12.2261,0.0000,-0.0610,-0.1221,-0.0610,-0.2152,-0.2397,-10.5501,0.0141,-0.0012,-0.0013,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1000,-0.1000,-0.1000,-0.1000,4
0,-1,0,-10.4205,-0.2104,0.0115,0.0210,0.3810,0.2010,1.1606,23.4375,23.4375,23.4375,23.4375,12.2275,0.0000,-0.0610,-0.3052,0.1221,-0.1435,-0.2325,-10.5691,0.0141,-0.0012,-0.0013,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1000,-0.1000,-0.1000,-0.1000,4
0,-1,0,-10.4205,-0.2104,0.0115,0.0210,0.3810,0.2010,1.1606,23.4375,23.4375,23.4375,23.4375,12.2285,0.0000,-0.0610,-0.1831,-0.0610,-0.1650,-0.2565,-10.5787,0.0141,-0.0012,-0.0013,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1000,-0.1000,-0.1000,-0.1000,4
0,-1,0,-10.4205,-0.2104,0.0115,0.0210,0.3810,0.2010,1.1606,23.4375,23.4375,23.4375,23.4375,12.2300,0.0000,-0.1221,-0.0610,-0.0000,-0.1291,-0.2277,-10.6479,0.0141,-0.0012,-0.0013,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1000,-0.1000,-0.1000,-0.1000,4
