loop_index, counter, last_step_ns, T_ref, theta_ref, phi_ref, uwind, vwind, wwind, rho, rpm1, rpm2, rpm3, rpm4,v_batt,alt,gyro_roll,gyro_pitch,gyro_yaw,accel_X,accel_Y,accel_Z,roll,pitch,yaw,X,Y,Z,Xdot,Ydot,Zdot,x0,y0,z0,e.xbee_time,xbee_time_received_ns,xbee_x,xbee_y,xbee_z,xbee_qw,xbee_qx,xbee_qy,xbee_qz,sp_roll,sp_pitch,sp_yaw,sp_X,sp_Y,sp_Z,sp_Xdot,sp_Ydot,sp_Zdot,u_roll,u_pitch,u_yaw,u_X,u_Y,u_Z,mot_1,mot_2,mot_3,mot_4,flight mode
1,207,1136622462293,-10.4402,-0.2019,0.0067,0.0210,0.6310,0.2610,1.1606,23.4375,23.4375,23.4375,23.4375,12.2227,0.0000,0.0000,0.0000,-0.0000,-0.1482,-0.2685,-10.6002,0.0249,-0.0158,-0.0043,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.2019,0.0067,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.5598,0.0025,0.0025,0.0025,0.0025,4
2,208,1136626273067,-10.4402,-0.2019,0.0067,0.0210,0.6310,0.2610,1.1606,23.4375,23.4375,23.4375,23.4375,12.2237,0.0000,0.1221,-0.1831,-0.0610,-0.1769,-0.2757,-10.5524,0.0250,-0.0158,-0.0043,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.2019,0.0067,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0292,-0.0020,0.0020,0.0020,0.0000,0.0000,-0.5598,0.0025,0.0025,0.0025,0.0025,4
3,209,1136631496356,-10.4402,-0.2019,0.0067,0.0210,0.6310,0.2610,1.1606,23.4375,23.4375,23.4375,23.4375,12.2249,0.0000,0.0000,0.0000,-0.0000,-0.1841,-0.2613,-10.6193,0.0250,-0.0158,-0.0043,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.2019,0.0067,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0292,-0.0040,0.0033,0.0036,0.0000,0.0000,-0.5598,0.0025,0.0025,0.0025,0.0025,4
4,210,1136635788358,-10.4402,-0.2019,0.0067,0.0210,0.6310,0.2610,1.1606,23.4375,23.4375,23.4375,23.4375,12.2261,0.0000,0.0000,0.0000,0.1831,-0.1698,-0.2685,-10.6312,0.0250,-0.0158,-0.0043,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.2019,0.0067,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0205,-0.0060,0.0042,0.0048,0.0000,0.0000,-0.5598,0.0025,0.0025,0.0025,0.0025,4
5,211,1136641191138,-10.4402,-0.2019,0.0067,0.0210,0.6310,0.2610,1.1606,23.4375,23.4375,23.4375,23.4375,12.2273,0.0000,0.0610,0.0000,-0.0000,-0.1172,-0.2709,-10.6384,0.0250,-0.0158,-0.0043,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.2019,0.0067,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0205,-0.0080,0.0048,0.0059,0.0000,0.0000,-0.5598,0.0025,0.0025,0.0025,0.0025,4
6,212,1136645770376,-10.4402,-0.2019,0.0067,0.0210,0.6310,0.2610,1.1606,23.4375,23.4375,23.4375,23.4375,12.2290,0.0000,0.0000,0.0000,-0.0610,-0.1219,-0.2661,-10.6312,0.0250,-0.0158,-0.0043,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.2019,0.0067,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0205,-0.0100,0.0052,0.0069,0.0000,0.0000,-0.5598,0.0025,0.0025,0.0025,0.0025,4
7,213,1136650740011,-10.4402,-0.2019,0.0067,0.0210,0.6310,0.2610,1.1606,23.4375,23.4375,23.4375,23.4375,12.2304,0.0000,-0.0610,-0.1221,0.1221,-0.1243,-0.2469,-10.5930,0.0250,-0.0158,-0.0043,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.2019,0.0067,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0205,-0.0120,0.0055,0.0076,0.0000,0.0000,-0.5598,0.0025,0.0025,0.0025,0.0025,4
8,214,1136656178082,-10.4402,-0.2019,0.0067,0.0210,0.6310,0.2610,1.1606,23.4375,23.4375,23.4375,23.4375,12.2326,0.0000,-0.0610,-0.2441,0.1221,-0.1315,-0.1822,-10.6264,0.0250,-0.0158,-0.0043,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.2019,0.0067,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0175,-0.0140,0.0057,0.0082,0.0000,0.0000,-0.5598,0.0025,0.0025,0.0025,0.0025,4
9,215,1136661236879,-10.4402,-0.2019,0.0067,0.0210,0.6310,0.2610,1.1606,23.4375,23.4375,23.4375,23.4375,12.2343,0.0000,-0.1831,-0.1831,-0.0000,-0.1363,-0.2517,-10.5978,0.0250,-0.0158,-0.0043,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.2019,0.0067,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0175,-0.0160,0.0059,0.0087,0.0000,0.0000,-0.5598,0.0025,0.0025,0.0025,0.0025,4
10,216,1136665804450,-10.4402,-0.2019,0.0067,0.0210,0.6310,0.2610,1.1606,23.4375,23.4375,23.4375,23.4375,12.2355,0.0000,0.0000,-0.1221,-0.0000,-0.1578,-0.2685,-10.5715,0.0250,-0.0159,-0.0043,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.2019,0.0067,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0175,-0.0180,0.0060,0.0092,0.0000,0.0000,-0.5598,0.0025,0.0025,0.0025,0.0025,4
