loop_index, counter, last_step_ns, T_ref, theta_ref, phi_ref, uwind, vwind, wwind, rho, rpm1, rpm2, rpm3, rpm4,v_batt,alt,gyro_roll,gyro_pitch,gyro_yaw,accel_X,accel_Y,accel_Z,roll,pitch,yaw,X,Y,Z,Xdot,Ydot,Zdot,x0,y0,z0,e.xbee_time,xbee_time_received_ns,xbee_x,xbee_y,xbee_z,xbee_qw,xbee_qx,xbee_qy,xbee_qz,sp_roll,sp_pitch,sp_yaw,sp_X,sp_Y,sp_Z,sp_Xdot,sp_Ydot,sp_Zdot,u_roll,u_pitch,u_yaw,u_X,u_Y,u_Z,mot_1,mot_2,mot_3,mot_4,flight mode
1,344,3660479032740,-10.4994,-0.1306,0.1114,0.0610,0.0710,-0.0190,1.1651,5213.2812,4980.8594,3075.0000,4980.8594,12.0274,0.0000,-2.8687,0.3662,-0.5493,2.4005,-4.0251,-19.9711,0.0205,-0.0212,-0.0102,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.1306,0.1114,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.5710,0.5415,0.5142,0.3084,0.5142,4
2,345,3660556773366,-10.4331,-0.2051,-0.0115,-0.0390,0.6910,0.3110,1.1651,23.4375,23.4375,23.4375,23.4375,12.0298,0.0000,1.6479,-1.8921,-0.9766,-8.1053,-23.2997,7.9746,0.0206,-0.0212,-0.0105,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.2051,-0.0115,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0020,-0.0020,0.0020,0.0000,0.0000,-0.5593,0.0025,0.0025,0.0025,0.0025,4
3,346,3660560531126,-10.4331,-0.2051,-0.0115,-0.0390,0.6910,0.3110,1.1651,23.4375,23.4375,23.4375,23.4375,12.0414,0.0000,-0.0610,-1.2207,-0.4272,3.1823,17.6036,-14.3953,0.0247,-0.0236,-0.0109,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.2051,-0.0115,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0040,0.0040,0.0040,0.0000,0.0000,-0.5593,0.0025,0.0025,0.0025,0.0025,4
4,347,3660564515733,-10.4331,-0.2051,-0.0115,-0.0390,0.6910,0.3110,1.1651,23.4375,23.4375,23.4375,23.4375,12.0527,0.0000,-3.6011,0.3662,0.9766,-6.5440,-0.1750,-1.8355,0.0190,-0.0226,-0.0104,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.2051,-0.0115,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0060,-0.0022,0.0041,0.0000,0.0000,-0.5593,0.0025,0.0025,0.0025,0.0025,4
5,348,3660596731258,-10.4331,-0.2051,-0.0115,-0.0390,0.6910,0.3110,1.1651,23.4375,23.4375,23.4375,23.4375,12.0631,0.0000,-1.0986,-4.6997,-0.1221,2.2236,-15.4556,-7.9245,0.0189,-0.0236,-0.0104,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.2051,-0.0115,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0080,0.0057,0.0080,0.0000,0.0000,-0.5593,0.0025,0.0025,0.0025,0.0025,4
6,349,3660601641963,-10.4331,-0.2051,-0.0115,-0.0390,0.6910,0.3110,1.1651,23.4375,23.4375,23.4375,23.4375,12.0740,0.0000,3.2349,3.4180,-0.6714,5.7311,0.1127,-25.0600,0.0240,-0.0209,-0.0109,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.2051,-0.0115,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0100,-0.0100,0.0100,0.0000,0.0000,-0.5593,0.0025,0.0025,0.0025,0.0025,4
7,350,3660603130410,-10.4331,-0.2051,-0.0115,-0.0390,0.6910,0.3110,1.1651,23.4375,23.4375,23.4375,23.4375,12.0844,0.0000,-1.4038,-4.3945,0.9766,-13.6356,6.4512,15.3334,0.0212,-0.0231,-0.0107,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.2051,-0.0115,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0093,0.0077,0.0116,0.0000,0.0000,-0.5593,0.0025,0.0025,0.0025,0.0025,4
8,351,3660609517397,-10.4331,-0.2051,-0.0115,-0.0390,0.6910,0.3110,1.1651,23.4375,23.4375,23.4375,23.4375,12.0958,0.0000,0.4883,-0.3662,-0.2441,20.0911,-12.0466,-40.1881,0.0210,-0.0246,-0.0107,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.2051,-0.0115,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0140,0.0140,0.0140,0.0000,0.0000,-0.5593,0.0025,0.0025,0.0025,0.0025,4
9,352,3660613749891,-10.4331,-0.2051,-0.0115,-0.0390,0.6910,0.3110,1.1651,23.4375,23.4375,23.4375,23.4375,12.1062,0.0000,2.3804,4.4556,-0.3052,15.3618,-10.6034,-38.6461,0.0223,-0.0222,-0.0107,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.2051,-0.0115,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0160,-0.0039,0.0160,0.0000,0.0000,-0.5593,0.0025,0.0025,0.0025,0.0025,4
10,353,3660619031385,-10.4331,-0.2051,-0.0115,-0.0390,0.6910,0.3110,1.1651,23.4375,23.4375,23.4375,23.4375,12.1163,0.0000,0.8545,4.0894,-0.6714,-3.8231,2.6634,-12.7221,0.0233,-0.0203,-0.0108,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.2051,-0.0115,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0180,-0.0134,0.0180,0.0000,0.0000,-0.5593,0.0025,0.0025,0.0025,0.0025,4
