loop_index, counter, last_step_ns, T_ref, theta_ref, phi_ref, uwind, vwind, wwind, rho, rpm1, rpm2, rpm3, rpm4,v_batt,alt,gyro_roll,gyro_pitch,gyro_yaw,accel_X,accel_Y,accel_Z,roll,pitch,yaw,X,Y,Z,Xdot,Ydot,Zdot,x0,y0,z0,e.xbee_time,xbee_time_received_ns,xbee_x,xbee_y,xbee_z,xbee_qw,xbee_qx,xbee_qy,xbee_qz,sp_roll,sp_pitch,sp_yaw,sp_X,sp_Y,sp_Z,sp_Xdot,sp_Ydot,sp_Zdot,u_roll,u_pitch,u_yaw,u_X,u_Y,u_Z,mot_1,mot_2,mot_3,mot_4,flight_mode
0,-1,0,-10.4659,-0.1344,0.1332,0.0710,0.0710,0.0310,1.1670,8025.5859,8025.5859,8025.5859,8025.5859,12.2162,0.0000,0.0000,0.0000,-0.0000,-0.1124,-0.1942,-10.6431,0.0123,-0.0012,-0.0011,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5800,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1000,-0.1000,-0.1000,-0.1000,4
0,-1,0,-10.4659,-0.1344,0.1332,0.0710,0.0710,0.0310,1.1670,8025.5859,8025.5859,8025.5859,8025.5859,12.2188,0.0000,-0.0610,-0.1831,-0.0610,-0.0909,-0.2014,-10.5620,0.0123,-0.0012,-0.0011,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5800,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1000,-0.1000,-0.1000,-0.1000,4
0,-1,0,-10.4659,-0.1344,0.1332,0.0710,0.0710,0.0310,1.1670,8025.5859,8025.5859,8025.5859,8025.5859,12.2210,0.0000,0.0000,-0.1221,0.1221,-0.1411,-0.2301,-10.5668,0.0124,-0.0012,-0.0011,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5800,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1000,-0.1000,-0.1000,-0.1000,4
0,-1,0,-10.4659,-0.1344,0.1332,0.0710,0.0710,0.0310,1.1670,8025.5859,8025.5859,8025.5859,8025.5859,12.2237,0.0000,-0.0610,-0.1221,-0.1221,-0.1291,-0.2110,-10.5835,0.0124,-0.0013,-0.0012,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5800,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1000,-0.1000,-0.1000,-0.1000,4
0,-1,0,-10.4659,-0.1344,0.1332,0.0710,0.0710,0.0310,1.1670,8025.5859,8025.5859,8025.5859,8025.5859,12.2258,0.0000,0.0610,0.0000,-0.0000,-0.1315,-0.1894,-10.6217,0.0124,-0.0013,-0.0012,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5800,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1000,-0.1000,-0.1000,-0.1000,4
0,-1,0,-10.4659,-0.1344,0.1332,0.0710,0.0710,0.0310,1.1670,8025.5859,8025.5859,8025.5859,8025.5859,12.2283,0.0000,0.0000,0.0000,-0.1221,-0.1530,-0.2206,-10.6169,0.0124,-0.0013,-0.0012,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5800,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1000,-0.1000,-0.1000,-0.1000,4
0,-1,0,-10.4659,-0.1344,0.1332,0.0710,0.0710,0.0310,1.1670,8025.5859,8025.5859,8025.5859,8025.5859,12.2297,0.0000,0.0000,0.0000,-0.1221,-0.1435,-0.2253,-10.5930,0.0124,-0.0013,-0.0012,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5800,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1000,-0.1000,-0.1000,-0.1000,4
0,-1,0,-10.4659,-0.1344,0.1332,0.0710,0.0710,0.0310,1.1670,8025.5859,8025.5859,8025.5859,8025.5859,12.2316,0.0000,0.0000,-0.0610,-0.0000,-0.1578,-0.1750,-10.5620,0.0124,-0.0013,-0.0012,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5800,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1000,-0.1000,-0.1000,-0.1000,4
0,-1,0,-10.4659,-0.1344,0.1332,0.0710,0.0710,0.0310,1.1670,8025.5859,8025.5859,8025.5859,8025.5859,12.2341,0.0000,-0.0610,-0.1221,-0.0610,-0.1148,-0.2182,-10.6050,0.0124,-0.0013,-0.0012,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5800,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1000,-0.1000,-0.1000,-0.1000,4
0,-1,0,-10.4659,-0.1344,0.1332,0.0710,0.0710,0.0310,1.1670,8025.5859,8025.5859,8025.5859,8025.5859,12.2362,0.0000,-0.0610,-0.1831,-0.0000,-0.1315,-0.1366,-10.6288,0.0124,-0.0014,-0.0012,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5800,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1000,-0.1000,-0.1000,-0.1000,4
